designation,l,b,parallax,phot_g_mean_mag,distance,Absolute_Mag,SIMBAD_ID,Spectral_Type,X,Y,Z,star_name
,185.1101254,-26.87634135,8.24,,121.3592233,,* r Tau,A3V,-107.8202597,-9.641908055,-54.86243065,r Tauri
Gaia DR2 66714384141781760,166.668257,-23.4552146,8.09,2.773,123.6093943,,* eta Tau,B7III,-110.3398619,26.14779299,-49.20050985,Alycone (Eta Tauri)
,239.8310616,-11.32975253,8.05,,124.2236025,,* eps CMa,B1.5II,-61.21217334,-105.3043164,-24.40438894,Adhara (Epsilon Canis Majoris A)
Gaia DR2 1931392955600422016,102.5170448,-15.75864716,7.74,4.9517,129.1989664,,*   2 And,A1V,-26.94884774,121.3874921,-35.08859197,2 Andromedae
,310.1919226,8.72102498,7.63,,131.061599,,* eps Cen,B1III,83.60270899,-98.95874106,19.87202398,Epsilon Centauri
,123.2805497,26.46139598,7.54,,132.6259947,,* alf UMi,F8Ib,-65.15255865,99.2587053,59.09744488,Polaris (Alpha Ursae Minoris)
Gaia DR2 1753792926878732672,54.65801955,-16.21304332,6.986,7.8792,143.1434297,,*   1 Del B,,79.50907009,112.1204055,-39.9670353,1 Delphini B
,350.0969283,22.49042547,6.64,,150.6024096,,* del Sco,B0.3IV,137.0748208,-23.93095862,57.60979521,Dschubba (Delta Scorpii A)
,226.05985,-14.26804642,6.62,,151.0574018,,* bet CMa,B1II-III,-101.5863863,-105.4159254,-37.22938957,Mirzam (Beta Canis Majoris)
Gaia DR2 1004750291151290624,155.3538504,19.53654099,6.57,6.9527,152.2070015,,*   4 Lyn B,,-130.3765096,59.81809905,50.89923454,4 Lyncis B
,199.7872362,-8.95860329,6.55,,152.6717557,,* alf Ori,M1-M2Ia-Iab,-141.9049746,-51.05322767,-23.77416957,Betelgeuse (Alpha Orionis)
Gaia DR2 3558140097022673664,272.4902095,38.45435781,6.5,6.0792,153.8461538,,* psi Crt,A0V,5.234587876,-120.3637372,95.67553976,Psi Crateris
Gaia DR2 3684306371953952896,308.9912471,59.06182511,6.45,6.7093,155.0387597,,*  48 Vir,A9IV,50.15203997,-61.95196045,132.980241,48 Virginis
