designation,l,b,parallax,phot_g_mean_mag,SIMBAD_ID,Spectral_Type,distance,adjusted_mag,X,Y,Z,interim_ID,Absolute_Mag,star_name
Gaia DR3 679088656539598592,199.1028611164012,30.43927826534714,40.10882704430648,20.034025192260742,2MASS J08234818+2428577,L2,24.93216764717012,15.46615644172816,-20.31196937900128,-7.034785970988869,12.631257652169444,2MASS J08234818+2428577,,
Gaia DR3 913325109028988288,179.75326293161143,38.292926574313036,40.11442550803959,8.228118896484375,HD  74377,K3V,24.92868805511333,3.660948006430405,-19.565171174291002,0.08425546978835925,15.447862832303151,HD 74377,,
Gaia DR3 2950868451932669440,224.13289943051495,-9.168958109860693,40.11910179292692,12.896657943725586,LP  720-31,,24.925782365753314,8.330069887936784,-17.661312788443254,-17.134678407026176,-3.9718324513328347,LP 720-31,,
Gaia DR3 4266702906501990016,34.09252158305922,-0.37374380257040873,40.12000680702624,9.92238998413086,BD+00  4050,M0.0V,24.925220098040196,5.355914717992285,20.640970706413473,13.971059033622929,-0.16258755103274417,BD+00 4050,,
Gaia DR3 6768045340904025088,15.449265045887644,-20.69158068537916,40.120069659771495,12.004119873046875,SCR J1938-2416,M2.0Ve,24.92518104979022,7.437652439994711,22.474871689225097,6.211406892554631,-8.80699820215801,SCR J1938-2416,,
Gaia DR3 4227727388253995648,48.947852109235924,-26.646425538261514,40.126068488330546,13.838959693908691,UPM J2054+0051,,24.921454746826736,9.273239814409717,14.62873060562476,16.79752795467044,-11.176860121619818,UPM J2054+0051,,
Gaia DR3 2668056572156599040,49.933912427751814,-41.011003367386536,40.1290224479797,12.390619277954102,Wolf  939,M3.5V,24.919620239848257,7.8252674697657465,12.103544070609447,14.39069954515649,-16.352353360605395,Wolf 939,,
Gaia DR3 6695913186230672512,6.337141961098923,-33.684548445533494,40.13101367773911,12.947845458984375,SCR J2025-3545,,24.918383772466363,8.382741748087767,20.60798294656338,2.2886654091516343,-13.820235140945348,SCR J2025-3545,,
Gaia DR3 3903379292080122368,292.4798772595519,72.58195066226868,40.13718231592105,13.269027709960938,LSPM J1238+0958,dM4.5,24.91455409423033,8.70469250246941,2.851616520560861,-6.891255825508058,23.772124054896626,LSPM J1238+0958,,
Gaia DR3 83872744127196416,157.5416899657958,-35.604633211379046,40.13794100582682,16.10719871520996,LP  411-8,M8,24.91408315774918,11.54295801892868,-18.720189335347396,7.738202751261436,-14.504698170605165,LP 411-8,,
Gaia DR3 3316984005545134592,205.56899107750186,-7.657809142280115,40.14462912607561,13.467479705810547,UPM J0610+0259,,24.909932455957314,8.904072082044665,-22.27000894730546,-10.655184853662213,-3.3194084083730346,UPM J0610+0259,,
Gaia DR3 4930524225613187456,286.1354231452288,-67.99308762962326,40.146135513614794,12.892566680908203,UPM J0128-4754,,24.90899777042971,8.329346673681549,2.5939602726682103,-8.966177095439269,-23.094094663448306,UPM J0128-4754,,
Gaia DR3 4284972773979473024,35.75787432286034,7.356745601169624,40.15075985229535,19.984697341918945,,,24.90612889217417,15.422053239733774,20.04479010620555,14.434366947522449,3.1891529935123044,,,
Gaia DR3 4109836033549438080,359.4882318467656,5.609934727516855,40.15194921550782,19.979862213134766,,,24.90539113388228,15.417366220923265,24.785117157770497,-0.22138752759369962,2.434638077800997,,,
Gaia DR3 3881626244798724480,225.22051134452335,48.9557872496728,40.15267703930643,11.15071964263916,G  42-36,M1.5V,24.904939688605957,6.588314283288128,-11.519158021749297,-11.608167419150956,18.78338277659355,G 42-36,,
Gaia DR3 1909581805999126784,99.82447994778174,-27.897597528388864,40.1542661325683,7.826883316040039,HD 219538,K2V,24.903954082949124,3.264675834132638,-3.755534289068059,21.686976226898878,-11.652379727042675,HD 219538,,
Gaia DR3 326828392543639296,144.255371259457,-25.001986797707126,40.15471176755559,12.972597122192383,G  74-24,dM4.0,24.903677700109533,8.410445130343373,-18.31848689357668,13.184816451062208,-10.525531628976822,G 74-24,,
Gaia DR3 4796804060982392064,255.42312717901555,-33.71358997794213,40.15571663475698,11.765459060668945,SCR J0526-4851,,24.903054503936936,7.203432191698921,-5.213504917734618,-20.048124997074257,-13.82223477591438,SCR J0526-4851,,
Gaia DR3 4434578579508991360,22.52389503889095,29.283455074969805,40.16205541429028,17.35279083251953,2MASS J16490419+0444571,M8.1V,24.899124053401525,12.791553176121614,20.060681563250437,8.319209738573356,12.178923727906685,2MASS J16490419+0444571,,
Gaia DR3 5094232294281977216,214.0681848749032,-46.4029834640612,40.16616912594293,12.703706741333008,PM J04002-2001,,24.896573951686868,8.142981197792032,-14.221668711199447,-9.617280970118976,-18.030292297755217,PM J04002-2001,,
Gaia DR3 3232309683080514560,196.16928383029622,-24.1379449180021,40.16635351068327,15.387909889221191,LSR J0455+0244,M5.5V,24.8964596632857,10.827207298369151,-21.82088503950659,-6.326869585193261,-10.18103143646094,LSR J0455+0244,,
Gaia DR3 694744465169442816,200.55946263210998,42.95928895164876,40.17295660723538,14.69015121459961,LP  313-38,M5Ve,24.89236751421712,10.130270524826543,-17.05689850065206,-6.397497390436476,16.963614035360035,LP 313-38,,
Gaia DR3 5812455902555239168,326.26633841667905,-17.83547793088473,40.17792200603534,11.295877456665039,L  112-52 B,,24.889291184590995,6.736614731361306,19.703853705034103,-13.157568388621918,-7.623211852015542,L 112-52 B,,
Gaia DR3 3788190605663811840,261.3969174128767,49.12488923737696,40.179551209031494,11.472004890441895,L  970-27,M3V,24.888281972030132,6.912944909566425,-2.4363785493149694,-16.103942448284403,18.81897119148817,L 970-27,,
Gaia DR3 2870356816063753728,100.7978267192622,-28.578615861566707,40.180539896994695,13.725912094116211,LP  346-8,M4,24.887669567496154,9.16697514545109,-4.09447834404791,21.468431254943646,-11.905368664714068,LP 346-8,,
Gaia DR3 1195788477975819008,25.271486622952054,48.13755908447945,40.181207354751216,13.185453414916992,G 137-45,dM4.0,24.8872561536346,8.626599522902499,15.018870867457583,7.0902456548671084,18.534763372562793,G 137-45,,
Gaia DR3 3166484739422960640,203.56247205955847,12.053239217157774,40.18172249882037,12.155035972595215,PM J07182+1342,M3.5V,24.88693709010004,7.596246182781837,-22.30906937353619,-9.729196549847664,5.196902530140333,PM J07182+1342,,
Gaia DR3 4306946238961953536,40.11612965305977,1.8957099152625787,40.18626208591117,20.171613693237305,,,24.884125770696855,15.61338875360887,19.019472192311767,16.025035885076782,0.8231754246455125,,,
Gaia DR3 2342686956666281728,208.01827833964538,-89.6705814736169,40.18694989793649,18.16240119934082,RG 0050-2722,M7.5:V,24.88369987121983,13.604261836984758,-0.1262987874734788,-0.06720594776795165,-24.88328859411097,RG 0050-2722,,
Gaia DR3 4280632829779587072,35.88794445479262,3.7568229853366235,40.18727540946696,14.751989364624023,GD 215,DA5.6,24.88349831659473,10.193890501760084,20.116418721245008,14.55540901348866,1.6304155156183684,GD 215,,
Gaia DR3 5826090254759721088,321.3568876180356,-7.559123471248874,40.18839675742408,19.140548706054688,,,24.882804010221385,14.582589356544348,19.265839489628735,-15.40346673471983,-3.2733128056039864,,,
Gaia DR3 1088832380575983616,153.72346423903335,28.328852408700236,40.18950292244185,14.669597625732422,LSPM J0730+6247,,24.88211914264805,10.111775896764826,-19.638997039855607,9.696191645294975,11.807350078454828,LSPM J0730+6247,,
Gaia DR3 3574523576191075328,284.28188068061166,48.830524178989265,40.1909952967019,16.679357528686523,L  829-10 B,,24.881195218423983,12.121721463442501,4.04057866720448,-15.872792263328009,18.729710763828976,L 829-10 B,,
Gaia DR3 1941668716395829504,108.17553777587294,-13.113589796695603,40.1922840382453,11.077118873596191,UPM J2325+4717A,,24.880397417784014,6.519643132931383,-7.558537027334536,23.022544328895037,-5.644922169290674,UPM J2325+4717A,,
Gaia DR3 6233452028580863744,343.9244159926901,20.611686229307985,40.19231016919956,12.152250289916992,UPM J1547-2755A,,24.8803812418408,7.594777799993761,22.37711758251965,-6.44849417905438,8.758704371089108,UPM J1547-2755A,,
Gaia DR3 2565529071371410048,142.73836478892383,-54.14075029323193,40.196665718303755,11.902032852172852,G  71-22,M4V,24.87768530375008,7.345102171503983,-11.598545143553084,8.823456540347813,-20.162330998819986,G 71-22,,
Gaia DR3 6689574432978156160,358.0531097283939,-26.648636436758128,40.19701247862603,16.04644012451172,2MASS J19423007-4115124,,24.87747069590633,11.489552576627673,22.22199708225105,-0.755386330763644,-11.157991996474959,2MASS J19423007-4115124,,
Gaia DR3 5001668709601989248,300.6189407514369,-80.59982852852707,40.198958788381596,19.717721939086914,2MASS J00531899-3631102,L4,24.876266205407852,15.16107648166154,2.06939816475855,-3.496522622985453,-24.542219563539106,2MASS J00531899-3631102,,
